input,output
在移动网知识范围内，解释一下什么是A3,"A3算法（Algorithm A3,【缩写】A3）
A3算法是一种鉴权算法，采用RAND 和Ki作为输入产生SRES。"
在移动网知识范围内，解释一下什么是A5,"A5算法（Algorithm A5,【缩写】A5）
A5算法是一种加密算法，采用Kc键对重要的信息进行加密。"
在移动网知识范围内，解释一下什么是A8,"A8算法（Algorithm A8,【缩写】A8）
A8算法是一种加密算法，采用RAND和Ki产生Kc键。"
在移动网知识范围内，解释一下什么是ACLR,"邻道泄漏比（Adjacent ChannelLeakage Ratio,【缩写】ACLR）
ACLR是用来衡量规定使用传输频道以外，传输RF能量的一个指标，由输出功率放大器产生；ACLR 也是WCDMA发射机性能的度量，它定义为发射功率与相邻RF信道接收机滤波器后所测功率之比。"
在移动网知识范围内，解释一下什么是ACS,"邻道选择性（Adjacent ChannelSelectivity,【缩写】ACS）
邻道选择性是指在相邻信道信号存在的情况下，接收机在其指定信道频率上接收有用信号的能力。邻道选择性的定义，使接收机滤波器在指定信道频率上的衰减与在相邻信道-1-频率上的衰减对比具有了相当的意义与可对比性，而邻道选择性的强弱，直接影响着射频收信机的接收性能，这一性能的好坏，可以直接通过邻道选择性定义后所获得的相关数字显示出来。"
在移动网知识范围内，解释一下什么是AGCH,"接入准许信道（Access GrantedCHannel,【缩写】AGCH）
接入准许信道是用于基站向随机接入成功的移动台发送指配了的独立专用控制信道(SDCCH),为下行信道。"
在移动网知识范围内，解释一下什么是AICH,"捕获指示信道（Acquisition IndicatorCHannel,【缩写】AICH）
捕获指示信道是一个扩频因子为256的固定速率下行链路信道，用于携带网络的捕获指示符号。该指示符号告知UE 其通过PRACH 发送的前缀已经被系统检测到，因而可以进一步发送PRACH 消息。"
在移动网知识范围内，解释一下什么是Ainterface,"A接口（A interface,【缩写】Ainterface）
A接口定义为网络子系统(NSS)与基站子系统(BSS)间的通信接口。从系统上来讲，就是移动交换中心(MSC)与基站控制器(BSC)之间的接口，物理链路采用标准的2.048Mbit/s的数字传输链路实现。此接口传递的信息包括移动台管理、基站管理、移动性管理、接续管理等。"
在移动网知识范围内，解释一下什么是AKA,"鉴权与密钥协商（Authentication andKey Agreement,【缩写】AKA）
AKA是无线移动通信网中引用的对用户和网络进行安全保护的算法，由IETF制定并被3GPP采用，广泛应用于3G无线网络的鉴权机制。"
在移动网知识范围内，解释一下什么是ALCAP,"接入链路控制应用协议（Access Link ControlApplication Protocol,【缩写】ALCAP）
接入链路控制应用协议又称为Q.AAL2协议，遵循ITU-T Q.2630.1规范，处于UMTS 网络体系结构中的Iub/Iur/Iu-CS传的制面，信令承载类型为SAALUNI 和MTP3-b。ALCAP内部由两个层面组成：Q.AAL2协议处理层以及两个STC适配层。ALCAP的基本功能是在两个信令点之间建立、释放AAL2连接，同时对该信令系统内信元的通道、通路等资源进行必要的维护和管理。"
